symbol,name,theme,benchmark,invest_type,management,list_date,delist_date,list_status,m_fee,c_fee,scale_yi,scale_reliable,n_qualify_years,first_qualify_year,last_qualify_year,peak_year,peak_avg_daily_yi,latest_year,latest_avg_daily_yi,theme_representative,theme_norm,sector
159649.SZ,华安中债1-5年国开行债券ETF,中债-1-5年国开行债券,中债-1-5年国开行债券指数×100%,被动指数型,华安基金管理有限公司,20221024,nan,L,0.15,0.05,42.69,Y,4,2023,2026,2023,19.7559,2026,4.9261,Y,中债-1-5年国开行债券,中债-1-5年国开行债券
512710.SH,富国中证军工龙头ETF,中证军工龙头,中证军工龙头指数收益率×100%,被动指数型,富国基金管理有限公司,20190826,nan,L,0.5,0.1,73.41,Y,8,2019,2026,2025,6.3833,2026,4.812,Y,中证军工龙头,军工
515790.SH,华泰柏瑞中证光伏产业ETF,中证光伏产业,中证光伏产业指数收益率×100%,被动指数型,华泰柏瑞基金管理有限公司,20201218,nan,L,0.5,0.1,50.04,Y,6,2021,2026,2021,7.8494,2026,4.6563,Y,中证光伏产业,光伏
159781.SZ,易方达中证科创创业50ETF,中证科创创业50,中证科创创业50指数收益率×100%,被动指数型,易方达基金管理有限公司,20210705,nan,L,0.15,0.05,171.82,Y,6,2021,2026,2021,8.0401,2026,4.4659,Y,中证科创创业50,中证科创创业50
159920.SZ,华夏恒生ETF(QDII),香港恒生,香港恒生指数×100%,被动指数型,华夏基金管理有限公司,20121022,nan,L,0.6,0.15,86.46,Y,11,2015,2026,2020,11.867,2026,4.4464,Y,香港恒生,香港恒生
159928.SZ,汇添富中证主要消费ETF,中证主要消费,中证主要消费指数×100%,被动指数型,汇添富基金管理股份有限公司,20130916,nan,L,0.5,0.1,153.53,Y,7,2020,2026,2025,4.7395,2026,4.1545,Y,中证主要消费,食品饮料
513520.SH,华夏野村日经225ETF(QDII),日经225,日经225指数收益率×100%,被动指数型,华夏基金管理有限公司,20190625,nan,L,0.2,0.05,24.49,Y,3,2024,2026,2024,4.7527,2026,3.8815,Y,日经225,日经225
513630.SH,摩根标普港股通低波红利ETF,标普港股通低波红利,标普港股通低波红利指数×100%,被动指数型,摩根基金管理(中国)有限公司,20231208,nan,L,0.5,0.1,119.34,Y,3,2024,2026,2026,3.8263,2026,3.8263,Y,标普港股通低波红利,跨境-港股红利
159259.SZ,易方达国证成长100ETF,国证成长100,国证成长100指数收益率×100%,被动指数型,易方达基金管理有限公司,20250828,nan,L,0.5,0.1,65.31,Y,2,2025,2026,2026,3.6517,2026,3.6517,Y,国证成长100,国证成长100
159851.SZ,华宝中证金融科技主题ETF,中证金融科技主题,中证金融科技主题指数收益率×100%,被动指数型,华宝基金管理有限公司,20210319,nan,L,0.5,0.1,64.44,Y,3,2024,2026,2025,6.6919,2026,3.5807,Y,中证金融科技主题,中证金融科技主题
159732.SZ,华夏国证消费电子主题ETF,国证消费电子主题,国证消费电子主题指数收益率×100%,被动指数型,华夏基金管理有限公司,20210823,nan,L,0.5,0.1,32.81,Y,3,2024,2026,2026,3.4631,2026,3.4631,Y,国证消费电子主题,消费电子
513500.SH,博时标普500ETF(QDII),标普500,标普500指数×100%,被动指数型,博时基金管理有限公司,20140115,nan,L,0.6,0.2,276.99,Y,8,2015,2026,2025,3.7896,2026,3.4383,Y,标普500,标普500
