sw_l1,sw_l2,sw_l3,组内排名,symbol,name,mktcap_yi,avg_amount_20d_yi,price,listing_date,is_st,已纳入
公用事业,电力,热力服务,36,600226.SS,亨通股份,179.95,5.4224,6.05,1999-11-16,0,False
公用事业,电力,电能综合服务,37,000875.SZ,电投绿能,179.55,1.555,4.95,2002-09-26,0,False
公用事业,电力,光伏发电,38,600032.SS,浙江新能,173.62,1.5616,7.22,2021-05-25,0,False
公用事业,电力,火力发电,39,000543.SZ,皖能电力,171.15,1.4491,7.55,1993-12-20,0,False
公用事业,电力,光伏发电,40,000591.SZ,太阳能,169.86,1.6143,4.3500000000000005,1996-02-08,0,False
公用事业,电力,风力发电,41,000537.SZ,绿发电力,157.47,1.531,7.66,1993-12-10,0,False
公用事业,电力,火力发电,42,000600.SZ,建投能源,150.14,1.401,7.38,1996-06-06,0,False
公用事业,电力,火力发电,43,000966.SZ,长源电力,144.11,1.4936,4.14,2000-03-16,0,False
公用事业,电力,电能综合服务,44,600452.SS,涪陵电力,140.75,1.9205,9.16,2004-03-03,0,False
公用事业,电力,热力服务,45,600475.SS,华光环能,140.27,1.468,14.75,2003-07-21,0,False
公用事业,电力,火力发电,46,600744.SS,华银电力,136.29,6.5452,6.71,1996-09-05,0,False
公用事业,电力,光伏发电,47,601778.SS,晶科科技,134.4,2.9598,3.61,2020-05-19,0,False
公用事业,电力,光伏发电,48,002617.SZ,露笑科技,134.02,5.1576,7.0200000000000005,2011-09-20,0,False
公用事业,电力,风力发电,49,601619.SS,嘉泽新能,125.27,1.2397,4.16,2017-07-20,0,False
公用事业,电力,光伏发电,50,600821.SS,金开新能,123.15,4.1393,6.26,1994-01-28,0,False
公用事业,电力,光伏发电,51,601222.SS,林洋能源,120.02,1.677,5.88,2011-08-08,0,False
公用事业,电力,风力发电,52,600163.SS,中闽能源,115.7,2.1774,6.08,1998-06-02,0,False
公用事业,电力,火力发电,53,000690.SZ,宝新能源,114.23,3.3442,5.25,1997-01-28,0,False
公用事业,电力,风力发电,54,603693.SS,江苏新能,113.48,1.2395,12.73,2018-07-03,0,False
公用事业,电力,火力发电,55,000767.SZ,晋控电力,108.31,2.8957,3.52,1997-06-09,0,False
公用事业,电力,风力发电,56,001258.SZ,立新能源,104.35,14.1472,11.18,2022-07-27,0,False
公用事业,电力,火力发电,57,600509.SS,天富能源,101.16,1.1476,7.36,2002-02-28,0,False
公用事业,电力,火力发电,58,000899.SZ,赣能股份,93.08,1.1475,9.54,1997-11-26,0,False
公用事业,电力,水力发电,59,000722.SZ,湖南发展,91.68,3.1422,14.33,1997-05-22,0,False
